药物名称,性,味,归经
熟地黄,温,甘,肝、肾
山药,平,甘,脾、肺、肾
山茱萸,温,酸、涩,肝、肾
牡丹皮,寒,苦、辛,心、肝、肾
牛膝,平,苦、甘、酸,肝、肾
茯苓,平,甘、淡,心、肺、脾、肾
黄芪,温,甘,肺、脾
白花蛇舌草,寒,苦、甘,心、肺、肝、大肠
半枝莲,寒,辛、苦,肺、肝、肾
蒲公英,寒,苦、甘,肝、胃
红花,温,辛,心、肝
丹参,寒,苦,心、肝
川芎,温,辛,肝、胆、心包
桃仁,平,苦、甘,心、肝、大肠
白茅根,寒,甘,肺、胃、膀胱
大蓟,凉,甘、苦,心、肝
小蓟,凉,甘、苦,肝、脾
陈皮,温,苦、辛,肺、脾
白术,温,苦、甘,脾、胃
甘草,平,甘,心、肺、脾、胃
淫羊藿,温,辛、甘,肝、肾
巴戟天,温,甘、辛,肾、肝
地黄,寒,甘、苦,心、肝、肾
龟甲,寒,咸、甘,肝、肾、心
麦冬,寒,甘、苦,心、肺、胃
栀子,寒,苦,心、肺、三焦
黄芩,寒,苦,肺、胆、脾、大肠、小肠
苦参,寒,苦,心、肝、胃、大肠、膀胱
杜仲,温,甘,肝、肾
续断,温,苦、辛,肝、肾
女贞子,凉,甘、苦,肝、肾
当归,温,甘、辛,肝、心、脾
赤芍,寒,苦,肝
人参,温,甘、苦,脾、肺、心、肾
枸杞子,平,甘,肝、肾
地龙,寒,咸,肝、脾、膀胱
穿山甲,寒,咸,肝、胃
水蛭,平,咸、苦,肝
黄柏,寒,苦,肾、膀胱
苍术,温,辛、苦,脾、胃、肝
薏苡仁,凉,甘、淡,脾、胃、肺
荠菜花,凉,甘,肝、脾
土茯苓,平,甘、淡,肝、胃
决明子,寒,甘、苦、咸,肝、大肠
车前子,寒,甘,肝、肾、肺、小肠
车前草,寒,甘,肝、肾、肺、小肠
大黄,寒,苦,脾、胃、大肠、肝、心包
五味子,温,酸、甘,肺、心、肾
法半夏,温,辛,脾、胃、肺
橘红,温,辛、苦,肺、脾
枳实,寒,苦、辛、酸,脾、胃
鱼腥草,寒,辛,肺
紫花地丁,寒,苦、辛,心、肝
蝉蜕,寒,甘,肺、肝
益母草,寒,苦、辛,肝、心包、膀胱
虎杖,寒,苦,肝、胆、肺
墨旱莲,寒,甘、酸,肾、肝
太子参,平,甘、苦,脾、肺
黄连,寒,苦,心、脾、胃、肝、胆、大肠
半夏,温,辛,脾、胃、肺
荆芥,温,辛,肺、肝
连翘,寒,苦,肺、心、小肠
僵蚕,平,咸、辛,肝、肺、胃
防风,温,辛、甘,膀胱、肝、脾
石韦,寒,甘、苦,肺、膀胱
鸡内金,平,甘,脾、胃、小肠、膀胱
麻黄,温,辛、苦,肺、膀胱
桂枝,温,辛、甘,心、肺、膀胱
桑叶,寒,甘、苦,肺、肝
菊花,寒,甘、苦,肺、肝
姜黄,温,辛、苦,脾、肝
龙葵,寒,苦,肝、胃
山楂,温,酸、甘,脾、胃、肝
豆蔻,温,辛,肺、脾、胃
桔梗,平,苦、辛,肺
党参,平,甘,脾、肺
附子,大热,辛、甘,心、肾、脾
猪苓,平,甘、淡,肾、膀胱
茜草,寒,苦,肝
清半夏,温,辛,脾、胃、肺
芡实,平,甘、涩,脾、肾
白芍,寒,苦、酸,肝、脾
金银花,寒,甘,肺、心、胃
玉米须,平,甘、淡,肾、胃、肝、胆
炙甘草,平,甘,心、肺、脾、胃
升麻,寒,辛、甘,肺、脾、胃、大肠
柴胡,寒,辛、苦,肝、胆、肺
阿胶,平,甘,肺、肝、肾
淡竹叶,寒,甘、淡,心、胃、小肠
知母,寒,苦、甘,肺、胃、肾
益智,温,辛,脾、肾
莪术,温,辛、苦,肝、脾
石斛,寒,甘,胃、肾
水牛角,寒,苦,心、肝
地骨皮,寒,甘,肺、肝、肾
石膏,大寒,甘、辛,肺、胃
泽泻,寒,甘、淡,肾、膀胱
藕节,平,甘、涩,肝、肺、胃
桑寄生,平,苦、甘,肝、肾
菟丝子,平,辛、甘,肝、肾、脾
萆薢,平,苦,肝、胃、膀胱
蒲黄,平,甘,肝、心包
金樱子,平,酸、甘、涩,肾、膀胱、大肠
通草,寒,甘、淡,肺、胃
独活,温,辛、苦,肾、膀胱
全蝎,平,辛,肝
青风藤,平,苦、辛,肝、脾
仙茅,热,辛,肾、肝、脾
狗脊,温,苦、甘,肝、肾
沙苑子,温,甘,肝、肾
莲须,平,甘、涩,心、肾
葛根,凉,甘、辛,脾、胃、肺
何首乌,温,苦、甘、涩,肝、心、肾
红参,温,甘、苦,脾、肺、心、肾
粪箕笃,寒,苦,肝、胆、大肠
泽兰,温,苦、辛,肝、脾
补骨脂,温,辛、苦,肾、脾
肉桂,大热,辛、甘,肾、脾、心、肝
紫苏叶,温,辛,肺、脾
仙鹤草,平,苦、涩,心、肝
大腹皮,温,辛,脾、胃、大肠、小肠
冬瓜皮,凉,甘,脾、小肠
干姜,热,辛,脾、胃、肾、心、肺
钩藤,凉,甘,肝、心包
石决明,寒,咸,肝
川牛膝,平,甘、苦,肝、肾
乌梢蛇,平,甘,肝
白僵蚕,平,辛、咸,肝、肺、胃
鳖甲,寒,咸,肝、肾
砂仁,温,辛,脾、胃、肾
木香,温,辛、苦,脾、胃、肝、肺
天麻,平,甘,肝
黄精,平,甘,脾、肺、肾
雷公藤,凉,苦、辛,肝、肾
肉苁蓉,温,甘、咸,肾、大肠
龙骨,平,涩、甘,心、肝、肾、大肠
牡蛎,寒,咸,肝、胆、肾
鹿衔草,温,甘、苦,肝、肾
大枣,温,甘,脾、胃、心
防己,寒,苦,膀胱、肺
白马骨,凉,淡、苦、辛,肝、脾
徐长卿,温,辛,肝、胃
夏枯草,寒,辛、苦,肝、胆
茯苓皮,平,甘、淡,肺、脾、肾
炙黄芪,温,甘,肺、脾
桑椹子,寒,甘、酸,肝、肾
覆盆子,温,甘、酸,肝、肾、膀胱
莲子,平,甘、涩,脾、肾、心
核桃仁,温,甘,肾、肺、大肠
蚤休,寒,苦,肝
桑白皮,寒,甘,肺
马鞭草,凉,苦,肝、脾
生姜,温,辛,肺、脾、胃
桑螵蛸,平,甘、咸,肝、肾
青葙子,寒,苦,肝
地榆,寒,苦、酸、涩,肝、大肠
三七,温,甘、苦,肝、胃
玄参,寒,甘、苦、咸,肺、胃、肾
漏芦,寒,苦,胃
冬虫夏草,平,甘,肺、肾
鹿角霜,温,咸、涩,肝、肾
鸡血藤,温,苦、甘,肝、肾
竹茹,寒,甘,肺、胃、心、胆
神曲,温,甘、辛,脾、胃
椒目,温,苦、辛,脾、肺、膀胱
葶苈子,大寒,辛、苦,肺、膀胱
半边莲,平,辛,心、小肠、肺
苍耳子,温,辛、苦,肺
木瓜,温,酸,肝、脾
石菖蒲,温,辛、苦,心、肝、脾
